Qus_No,Qus_Text,Qus_Type,Crs_ID
1, Who invented OOP?,mcq,1
2, Which is not a feature of OOP in general definitions?,mcq,1
3, Which was the first purely object oriented programming language developed?,mcq,1
4, When OOP concept did first came into picture?,mcq,1
5, Inheritance feature of OOP indicates code reusability?,t/f,1
6, Which header file is required in C++ to use OOP?,mcq,1
7, Why Java is Partially OOP language?,mcq,1
8, Which among the following doesn’t come under OOP concept?,mcq,1
9, Which is the correct syntax of inheritance?,mcq,1
10,The copy constructors can be used to ________,mcq,1
11, The feature by which one object can interact with another object is _____________,mcq,1
12, Which among the following for a pure OOP language is true?,mcq,1
13, How many types of access specifiers are provided in OOP (C++)?,mcq,1
14, In multilevel inheritance which is the most significant feature of OOP used?,mcq,1
15, What is encapsulation in OOP?,mcq,1
16, Which of the following is not true about polymorphism?,mcq,1
17,Which among the following represents correct constructor?,mcq,1
18, What is an abstraction in object-oriented programming?,mcq,1
19, Overloading << can show polymorphism?,t/f,1
20, In  Private access should a constructor be defined so that object of the class can be created in any function?,t/f,1
21,int x[] = new int[]{02030} <br><br>Arrays can also be created and initialize as in above statement.,t/f,2
22,"In an instance method or a constructor ""this"" is a reference to the current object.",t/f,2
23,Garbage Collection is manual process.,t/f,2
24,The JRE deletes objects when it determines that they are no longer being used. This process is called Garbage Collection.,t/f,2
25,Constructor overloading is not possible in Java.,t/f,2
26,Assignment operator is evaluated Left to Right.,t/f,2
27,All binary operators except for the assignment operators are evaluated from Left to Right,t/f,2
28,Java programming is not statically-typed means all variables should not first be declared before they can be used.,t/f,2
29,"In Java SE 7 and later underscore characters ""_"" can appear anywhere between digits in a numerical literal",t/f,2
30,"Variable name can begin with a letter ""$"" or ""_"".",t/f,2
31,What is Truncation in Java?,mcq,2
32,Which of the following is a type of polymorphism in Java Programming?,mcq,2
33,What is Truncation in Java?,mcq,2
34,What is the extension of compiled java classes?,mcq,2
35,Which exception is thrown when java is out of memory?,mcq,2
36,Which of these are selection statements in Java?,mcq,2
37,Which of these keywords is used to define interfaces in Java?,mcq,2
38,Which of the following is a superclass of every class in Java?,mcq,2
39,Which of these packages contains the exception Stack Overflow in Java?,mcq,2
40,Which of these keywords are used for the block to be examined for exceptions?,mcq,2
41,It is not possible to achieve inheritance of structures in c++?,t/f,3
42,Super classes are also called Parent classes/Base classes.,t/f,3
43,Sub classes may also be called Child classes/Derived classes.,t/f,3
44,Which of the following is used for comments in C++?,mcq,3
45,Which of the following user-defined header file extension used in c++?,mcq,3
46,Which of the following is a correct identifier in C++?,mcq,3
47,Which of the following is not a type of Constructor in C++?,mcq,3
48,Which of the following approach is used by C++?,mcq,3
49,What is virtual inheritance in C++?,mcq,3
50,Which of the following type is provided by C++ but not C?,mcq,3
51,By default all the files in C++ are opened in _________ mode.,mcq,3
52,Which of the following correctly declares an array in C++?,mcq,3
53,What is the size of wchar_t in C++?,mcq,3
54,What is the use of the indentation in c++?,mcq,3
55,Which is more effective while calling the C++ functions?,mcq,3
56,Which of the following is used to terminate the function declaration in C++?,mcq,3
57,Which keyword is used to define the macros in c++?,mcq,3
58,The C++ code which causes abnormal termination/behaviour of a program should be written under _________ block.,mcq,3
59,What is Inheritance in C++?,mcq,3
60,Which of the following symbol is used to declare the preprocessor directives in C++?,mcq,3
61,The ADD command is used to enter one row of data or to add multiple rows as a result of a query.,t/f,4
62,The condition in a WHERE clause can refer to only one value.,t/f,4
63,SQL provides the AS keyword which can be used to assign meaningful column names to the results of queries using the SQL built-in functions.,t/f,4
64,The SELECT command with its various clauses allows users to query the data contained in the tables and ask many different questions or ad hoc queries.,t/f,4
65,A SELECT statement within another SELECT statement and enclosed in square brackets ([...]) is called a subquery.,t/f,4
66,The rows of the result relation produced by a SELECT statement can be sorted but only by one column.,t/f,4
67,There is an equivalent join expression that can be substituted for all subquery expressions.,t/f,4
68,A dynamic view is one whose contents materialize when referenced.,t/f,4
69,SQL is a programming language.,t/f,4
70,SELECT DISTINCT is used if a user wishes to see duplicate columns in a query.,t/f,4
71,Which of the following joins are SQL server default?,mcq,4
72,Which of the following is not a class of constraint in SQL Server?,mcq,4
73,Which of the reasons will force you to use the XML data model in SQL Server?,mcq,4
74,What is the hybrid model in SQL Server?,mcq,4
75,Which of the following feature of SQL Server was used before XML technology for semi structured data?,mcq,4
76,Which of the following language is used for procedural flow in SQL Server?,mcq,4
77,Exception handling is possible in SQL Server using _____________,mcq,4
78,Which of the following stored procedure is already defined in SQL Server?,mcq,4
79,DML triggers in SQL Server is applicable to _____________,mcq,4
80,User defined function in SQL Server can return ____________,mcq,4
81,Indexes are created to enforce uniqueness on columns and to enable fast retrieval by column values.,t/f,5
82,Money is defined in Oracle with the Currency data type.,t/f,5
83,The default extension for SQL*Plus is .sql.,t/f,5
84,The left-leaning slash tells Oracle to execute whatever statement is in the buffer.,t/f,5
85,Oracle maintains a System Change Number (SCN) which is a database-wide value that is incremented by Oracle whenever database changes are made.,t/f,5
86,The semicolon terminates a SQL statement (and executes it).,t/f,5
87,SQL*Plus is a text editor.,t/f,5
88,When you type Start FILENAME the statement in your file will be executed automatically.,t/f,5
89,You can check on the status of tables with the DESCRIBE or DESC command.,t/f,5
90,Oracle directly supports the definition of surrogate keys.,t/f,5
91,Which of the following is another name of Oracle database’s design?,mcq,5
92,Which of the following is used to logically group data together?,mcq,5
93,Which of the following package procedure is UNRESTRICTED in Oracle?,mcq,5
94,Oracle server configuration is dedicated for,mcq,5
95,Which schema object instructs Oracle to connect to remotely access an object of a database?,mcq,5
96,When a transaction modifies the database Oracle copies the original data before modifying it. What is the original copy of the modified data called?,mcq,5
97,Which of the following is referred to as the language used application programs to request data from the DBMS?,mcq,5
98,Which of the following RDBMS supports full fledged client server application development?,mcq,5
99, Which of the following is the subset of SQL commands used to manipulate Oracle Database structures including tables?,mcq,5
100,Which of the following is not included in DML (Data Manipulation Language)?,mcq,5
101,Although some forms of memory are permanent most memory keeps data and instructions temporarily meaning its contents are erased when the computer is turned off.,t/f,6
102,An all-in-one contains a separate tower.,t/f,6
103,A smartphone is a small mobile computing consumer device designed to be worn.,t/f,6
104,Data conveys meaning to users and information is a collection of unprocessed items which can include text numbers images audio and video,t/f,6
105,Earbuds are a type of input device.,t/f,6
106,A scanner is a light-sensing output device.,t/f,6
107,One way to protect your computer from malware is to scan any removable media before using it.,t/f,6
108,A solid-state drive contains one or more inflexible circular platters that use magnetic particles to store data instructions and information.,t/f,6
109,The terms web and Internet are interchangeable.,t/f,6
110,Operating systems are a widely recognized example of system software.,t/f,6
111,. _______ is used to convert your application into Web-Application.,mcq,6
112,In contrast the contract-first approach encourages you to think of the service contract first in terms of,mcq,6
113,The basic Web Services platform is combination of _____ and _______,mcq,6
114,Which of the following is correct about Service Description layer in Web Service Protocol Stack?,mcq,6
115,Web services can be discovered using ________,mcq,6
116,Which of the following style(s) is/are Strictly WS-I compliant?,mcq,6
117,XML digital signatures provides,mcq,6
118,A more complex approach for web service implementation is referred to as,mcq,6
119,The standard for deploying web services on the Java EE platform as of Java EE 4,mcq,6
120,Factory to use our Spring bean as the implementation,mcq,6
121,What is the full form ASP?,mcq,7
122,ASP.NET is a ____.,mcq,7
123, Which of the following programming language can be used with ASP.NET?,mcq,7
124,What is the extension of the ASP.NET page?,mcq,7
